Studiekode,Studienavn,Lærested,Studiested,Utdanningsområde og -type,Kvote,Opptaksrunde,År,Poenggrense
184 708,Human ernæring,UIB,Bergen,HELSEFAG - ERNÆRING,ORD,Hovedopptak,2021,48.6
184 708,Human ernæring,UIB,Bergen,HELSEFAG - ERNÆRING,ORDF,Hovedopptak,2021,0
184 711,Havbruk og sjømat,UIB,Bergen,LANDOGHAVBRUK,ORD,Hovedopptak,2021,52.6
184 711,Havbruk og sjømat,UIB,Bergen,LANDOGHAVBRUK,ORDF,Hovedopptak,2021,0
184 724,Rettsvitenskap,UIB,Bergen,JUS,ORD,Hovedopptak,2021,61.5
184 724,Rettsvitenskap,UIB,Bergen,JUS,ORDF,Hovedopptak,2021,55.3
184 740,Medisin,UIB,Bergen,HELSEFAG - MEDISIN,ORD,Hovedopptak,2021,68.1
184 740,Medisin,UIB,Bergen,HELSEFAG - MEDISIN,ORDF,Hovedopptak,2021,60.5
184 742,Odontologi,UIB,Bergen,HELSEFAG - ODONT,ORD,Hovedopptak,2021,66.5
184 742,Odontologi,UIB,Bergen,HELSEFAG - ODONT,ORDF,Hovedopptak,2021,59
184 743,Tannpleie,UIB,Bergen,HELSEFAG - ODONT,ORD,Hovedopptak,2021,49.1
184 743,Tannpleie,UIB,Bergen,HELSEFAG - ODONT,ORDF,Hovedopptak,2021,45.2
184 752,"Psykologi, årsstudium",UIB,Bergen,SAMFUNN,ORD,Hovedopptak,2021,53.7
184 752,"Psykologi, årsstudium",UIB,Bergen,SAMFUNN,ORDF,Hovedopptak,2021,49
184 765,Havteknologi,UIB,Bergen,TEKNO - SIVING,ORD,Hovedopptak,2021,54.2
184 765,Havteknologi,UIB,Bergen,TEKNO - SIVING,ORDF,Hovedopptak,2021,51
184 769,Energi,UIB,Bergen,TEKNO - SIVING,ORD,Hovedopptak,2021,53.2
184 769,Energi,UIB,Bergen,TEKNO - SIVING,ORDF,Hovedopptak,2021,50
184 783,Medisinsk teknologi,UIB,Bergen,TEKNO - SIVING,ORD,Hovedopptak,2021,61.3
184 783,Medisinsk teknologi,UIB,Bergen,TEKNO - SIVING,ORDF,Hovedopptak,2021,57.5
184 792,Musikkterapi,UIB,Bergen,ESTETISK,ORD,Hovedopptak,2021,0
184 792,Musikkterapi,UIB,Bergen,ESTETISK,ORDF,Hovedopptak,2021,0
184 803,Informasjonsteknologi og økonomi,UIB,Bergen,TEKNO - SIVING,ORD,Hovedopptak,2021,59.3
184 803,Informasjonsteknologi og økonomi,UIB,Bergen,TEKNO - SIVING,ORDF,Hovedopptak,2021,55.4
184 817,"Lektor, 8.-13. trinn, nordisk",UIB,Bergen,LÆRER - LEKTOR 8-13,ORD,Hovedopptak,2021,0
184 817,"Lektor, 8.-13. trinn, nordisk",UIB,Bergen,LÆRER - LEKTOR 8-13,ORDF,Hovedopptak,2021,0
184 827,Fiskehelse,UIB,Bergen,REALFAG,ORD,Hovedopptak,2021,53.1
184 827,Fiskehelse,UIB,Bergen,REALFAG,ORDF,Hovedopptak,2021,47.2
184 829,Informatikk: datateknologi,UIB,Bergen,INFOTEKN,ORD,Hovedopptak,2021,55.2
184 829,Informatikk: datateknologi,UIB,Bergen,INFOTEKN,ORDF,Hovedopptak,2021,46.1
184 832,Kunstig intelligens,UIB,Bergen,INFOTEKN,ORD,Hovedopptak,2021,56.2
184 832,Kunstig intelligens,UIB,Bergen,INFOTEKN,ORDF,Hovedopptak,2021,51
184 837,Kognitiv vitenskap,UIB,Bergen,INFOTEKN,ORD,Hovedopptak,2021,54.3
184 837,Kognitiv vitenskap,UIB,Bergen,INFOTEKN,ORDF,Hovedopptak,2021,50
184 843,"Lektor, 8.-13. trinn, naturvit. eller matematikk",UIB,Bergen,LÆRER - LEKTOR 8-13,ORD,Hovedopptak,2021,0
184 843,"Lektor, 8.-13. trinn, naturvit. eller matematikk",UIB,Bergen,LÆRER - LEKTOR 8-13,ORDF,Hovedopptak,2021,0
184 844,"Lektor, 8.-13. trinn, engelsk",UIB,Bergen,LÆRER - LEKTOR 8-13,ORD,Hovedopptak,2021,47.7
184 844,"Lektor, 8.-13. trinn, engelsk",UIB,Bergen,LÆRER - LEKTOR 8-13,ORDF,Hovedopptak,2021,46.2
184 851,"Medier og kommunikasjon, bachelor",UIB,Bergen,MEDIEFAG,ORD,Hovedopptak,2021,48
184 851,"Medier og kommunikasjon, bachelor",UIB,Bergen,MEDIEFAG,ORDF,Hovedopptak,2021,43.5
184 852,"Pedagogikk, bachelor",UIB,Bergen,PEDFAG,ORD,Hovedopptak,2021,47.9
184 852,"Pedagogikk, bachelor",UIB,Bergen,PEDFAG,ORDF,Hovedopptak,2021,42.9
184 853,Spesialpedagogikk,UIB,Bergen,PEDFAG,ORD,Hovedopptak,2021,50.8
184 853,Spesialpedagogikk,UIB,Bergen,PEDFAG,ORDF,Hovedopptak,2021,42.6
184 857,Fysikk,UIB,Bergen,REALFAG,ORD,Hovedopptak,2021,0
184 857,Fysikk,UIB,Bergen,REALFAG,ORDF,Hovedopptak,2021,0
184 859,"Geovitenskap, retning geologi",UIB,Bergen,REALFAG,ORD,Hovedopptak,2021,43.1
184 859,"Geovitenskap, retning geologi",UIB,Bergen,REALFAG,ORDF,Hovedopptak,2021,44
184 860,Kjemi,UIB,Bergen,REALFAG,ORD,Hovedopptak,2021,0
184 860,Kjemi,UIB,Bergen,REALFAG,ORDF,Hovedopptak,2021,0
184 862,Matematikk,UIB,Bergen,REALFAG,ORD,Hovedopptak,2021,0
184 862,Matematikk,UIB,Bergen,REALFAG,ORDF,Hovedopptak,2021,0
184 865,Molekylærbiologi,UIB,Bergen,REALFAG,ORD,Hovedopptak,2021,50.9
184 865,Molekylærbiologi,UIB,Bergen,REALFAG,ORDF,Hovedopptak,2021,52.1
184 867,"Administrasjon og organisasjonsvitenskap, bachelor",UIB,Bergen,SAMFUNN,ORD,Hovedopptak,2021,45.7
184 867,"Administrasjon og organisasjonsvitenskap, bachelor",UIB,Bergen,SAMFUNN,ORDF,Hovedopptak,2021,41.3
184 870,Europastudier,UIB,Bergen,SAMFUNN,ORD,Hovedopptak,2021,39.7
