Lærested,Lærestedsnavn ,Studiekode,Studienavn,Studiested,Utdanningsområde- og type,Kvote,År,Opptaksfase,Poenggrense,Poenggrense + venteliste,Antall på venteliste,Antall studier per kvote i år
AHS,Ansgar høyskole,255 792,Musikk og helse,Kristiansand,ESTETISK,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 792,Musikk og helse,Kristiansand,ESTETISK,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 792,Musikk og helse,Kristiansand,ESTETISK,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 792,Musikk og helse,Kristiansand,ESTETISK,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 792,Musikk og helse,Kristiansand,ESTETISK,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 792,Musikk og helse,Kristiansand,ESTETISK,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 792,Musikk og helse,Kristiansand,ESTETISK,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 792,Musikk og helse,Kristiansand,ESTETISK,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 869,Interkulturelle studier,Kristiansand,SAMFUNN,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 869,Interkulturelle studier,Kristiansand,SAMFUNN,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 869,Interkulturelle studier,Kristiansand,SAMFUNN,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 869,Interkulturelle studier,Kristiansand,SAMFUNN,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 869,Interkulturelle studier,Kristiansand,SAMFUNN,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 869,Interkulturelle studier,Kristiansand,SAMFUNN,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 869,Interkulturelle studier,Kristiansand,SAMFUNN,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 869,Interkulturelle studier,Kristiansand,SAMFUNN,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 876,Kultur- og samfunnspsykologi,Kristiansand,SAMFUNN,ORD,2019,Hovedopptak,40.4,40.4 (47),47,1303
AHS,Ansgar høyskole,255 876,Kultur- og samfunnspsykologi,Kristiansand,SAMFUNN,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 876,Kultur- og samfunnspsykologi,Kristiansand,SAMFUNN,ORDF,2019,Hovedopptak,32.0,32.0 (6),6,1272
AHS,Ansgar høyskole,255 876,Kultur- og samfunnspsykologi,Kristiansand,SAMFUNN,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 903,"Psykologi, bachelor",Kristiansand,SAMFUNN,ORD,2020,Hovedopptak,50.2,50.2 (583),583,1303
AHS,Ansgar høyskole,255 903,"Psykologi, bachelor",Kristiansand,SAMFUNN,ORD,2020,Suppleringsopptak,48.3,48.3 (266),266,1303
AHS,Ansgar høyskole,255 903,"Psykologi, bachelor",Kristiansand,SAMFUNN,ORDF,2020,Hovedopptak,46.0,46.0 (278),278,1272
AHS,Ansgar høyskole,255 903,"Psykologi, bachelor",Kristiansand,SAMFUNN,ORDF,2020,Suppleringsopptak,43.0,43.0 (125),125,1272
AHS,Ansgar høyskole,255 936,Praktisk teologi,Kristiansand,HISTORIE,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 936,Praktisk teologi,Kristiansand,HISTORIE,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 936,Praktisk teologi,Kristiansand,HISTORIE,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 936,Praktisk teologi,Kristiansand,HISTORIE,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 936,Praktisk teologi,Kristiansand,HISTORIE,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 936,Praktisk teologi,Kristiansand,HISTORIE,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 936,Praktisk teologi,Kristiansand,HISTORIE,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
